id;name;age;address;city
3078;Marfa Kaarel Äijäläinen;32;Luisakatu 8L 49;Pyhäranta
18866;Juha-Jaakko Long Rautavuori;31;Einonpoikatie 22E 42;Piikkiö
22396;Tu Miikanpoika Sylvain Husam Toro;25;Almirakatu 5A 33;Vimpeli
1291;Dafina Eironen;52;Editkatu 43E 35;Pedersöre
10919;Jan-Krister Allari Nikki Bast;56;Leonoorakatu 23L 5;Hakkila
29368;Kaijaleena Brett Matthias Lupsakko;58;Sakaritie 14S 28;Ruotsinpyhtää
26249;Juha-Tapio Ylä-Anttila;56;Anuriikkatie 40A 16;Joutsa
6718;Ingalis Lagercrantz;35;Reimotie 8R 26;Nykarleby
12149;Riitta-Kaisa Cary Hill;36;Aimekatu 20A 30;Merikarvia
10490;Esu Olli-Antti Kaisaleena Aarikka;35;Lorenzkatu 24L 21;Merikarvia
24952;Li Sara-Julia Lummukka;55;Staffantie 26S 14;Pyhäselkä
5142;Fransiina Felicia Markelin;52;Solikatu 18S 5;Seinäjoki
11837;Alevtina Aada-Sofia Mats Turma;26;Augustitie 19A 9;Ekenäs
23958;Mustapha Maj-Brit Alexander Osmani;18;Elmitie 10E 29;Rajamäki
23856;Malvina Rimpisalo;40;Ruubentie 26R 48;Sauvo
5525;Bo-Johan Biret Antti-Petteri Holmén;67;Terhi-Tuuliakatu 23T 2;Mänttä
5599;Giovanna Jasmiina Rispa Lehtikunnas;29;Heli-Maariatie 34H 21;Seinäjoki
14829;Katharine Noemi Daavid Snicker;33;Sävelekatu 33S 44;Ruotsinpyhtää
4238;Ralph Susu Svenfelt;60;Kendratie 12K 29;Jämijärvi
7997;Kaukonpoika Miia-Maaria Einikki Mendolin;54;Mikkikatu 17M 35;Mariehamn
16824;Lilli Reetriikka Bredbacka;41;Valtotie 45V 37;Siilinjärvi
9246;Luljeta Adolfo Keski-Sikkilä;60;Salahtie 33S 30;Myrskylä
12785;Wiveka Ensi Lääkkö;60;Roitie 21R 28;Kuorevesi
14731;Titta-Mari Kari-Petteri O'Neill;31;Maximilliantie 41M 32;Korsholm
13316;Jamal Mireia Waldo Kunttunen;34;Dunjakatu 28D 13;Pyhäjoki
16176;Rauli Tomell;37;Gretetie 4G 44;Kauhajoki
986;Emma-Sofia Alatyppö;41;Aylinkatu 13A 25;Raseborg
23438;Varpu-Liisa Timo-Jaakko Hellman;62;Desiretie 35D 5;Maaninka
14504;Bernd Lee Benhard Putaansuu;56;Olesjakatu 22O 19;Kuopio
19382;Tellervo Ioanna Naima Paaskoski;66;Pia-Leenakatu 27P 3;Rautalampi
18472;Ritva-Maija Eewert Berghem;54;Augustinetie 1A 44;Ylivieska
8121;Nura Rapatti;61;Samankatu 6S 22;Kihniö
17649;Kadi Juonala;43;Esantytärkatu 3E 22;Pälkäne
28136;Leandro Aaltola;38;Geronimokatu 28G 27;Virolahti
16393;Sara-Tuulia Amaya Ahtosalo;59;Totie 5T 28;Nurmijärvi
18125;Vittoria Smith;64;Joankatu 24J 38;Porvoo
21695;Tenho Anne-Leena Jonathan Mäkäläinen;37;Liakatu 32L 7;Alavus
24092;Yuan Latifa Elo;28;Anna-Mariiatie 41A 13;Nurmes
6053;Sameh Heilimä Mäki-Hakola;59;Riikka-Susannakatu 16R 11;Kaskinen
23500;Yahia Abdi Teela Niinistö;23;Lilykatu 23L 27;Reisjärvi
10927;Emerson Miklas Mai-Brit Reijula;42;Aada-Sofiatie 37A 14;Rääkkylä
19068;Kiki Sievä Virjonen;30;Qasimkatu 37Q 16;Kristinestad
15019;Joas Nina-Marika Nikolai Huhtamella;41;Elisitie 46E 27;Suonenjoki
28823;Cathrine Vesavuori;41;Maijelitie 50M 47;Kaavi
631;Eedvard Elvi Anumari Tevaniemi;29;Mireltie 9M 44;Teisko
23507;Wilfred Anian Viinikainen;58;Allarikatu 41A 3;Piikkiö
25700;Thai Valmari Mirka Lastu;47;Niilonpoikakatu 22N 10;Ii
27677;Aapro Mikael Birgit Heta Juden;34;Hilmerkatu 13H 34;Mikkeli
9948;Jenny-Sofia Abdinasir Tervoja;25;Priscillatie 32P 14;Heinolan Maalaiskunta
12486;Oona-Emilia Männynsalo;52;Sanfridtie 27S 10;Valkeala
29990;Kerim Erwe;49;Mounirkatu 36M 39;Vaasa
6239;Sara-Tuulia Minna-Kaisa Inas Navarro;26;Bernttie 13B 18;Nurmes
10609;Katriina Nada Dale Kalevi Saarijärvi;46;Zainabkatu 13Z 2;Taipalsaari
6835;Emmi-Julia Morozov;63;Dominictie 46D 30;Loimaa
3261;Aileen Cesar Lekander;33;Hiljakatu 16H 32;Pargas
15807;Mino Irja-Leena Ruudolf Kelly;60;Freykatu 30F 24;Loppi
10193;Ontrei Annemi Kumar Mykkälä;52;Anni-Eveliinakatu 29A 34;Raseborg
25112;Mirelle Elmiina Kaaleppi Eirola;20;Iinatie 14I 2;Aura
25155;Lolita Emmilotta Aku-Ville Rakkola;55;Kati-Mariatie 45K 4;Pyhäranta
29636;Annemi Nicodemus Granbäck;39;Antonellatie 23A 45;Rääkkylä
20055;Erkko Apila Korte;35;Sirkka-Liisakatu 9S 24;Uurainen
7098;Sacha Hafidh Abdiaziz Oilinki;39;Viktoriinakatu 44V 38;Lahti
21442;Doreen Henna-Liisa Bruun;59;Feodosiatie 39F 25;Toholampi
